[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:42] C1:36 | C2:Remate de pintura en departamentos | C3:Pintura y recubrimiento | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:43] C1:37 | C2:Remate de pintura en areas comunes | C3:Pintura y recubrimiento | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:44] C1:38 | C2:Instalacion de drywall en departamentos | C3:Drywall y Falso Cielo Raso | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:45] C1:39 | C2:Sellado de junta en muros con espuma cortafuego | C3:Muros de Albañileria | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:46] C1:40 | C2:Forrado de  manparas y ventana | C3:Vidrios y cristales | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:47] C1:41 | C2:Instalacion de drywall en areas comunes | C3:Drywall y Falso Cielo Raso | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:48] C1:42 | C2:Impermeabilizado de retiros de fachada | C3:Otros, Obras Exteriores | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:49] C1:43 | C2:Colocacion de topes de puerta | C3:Carpinteria de Madera | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:50] C1:44 | C2:nivelacion de piso gimnacio | C3:Contrapiso y Acabados en Cemento | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:51] C1:45 | C2:forrado de pisos spc | C3:Otros Formatos de Pisos | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:52] C1:46 | C2:Colocacion de topellantas en sotanos | C3:Varios - Arquitectura | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:53] C1:47 | C2:Solaqueos en montantes iiee iiss  gas | C3:Tarrajeo, Revoques y Enlucido | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:54] C1:48 | C2:Siliconeado de muebles de melamine - cocinas, closet | C3:Carpinteria de Melamina | C4:17
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:55] C1:49 | C2:Tarrajeo de banco de medidores | C3:Tarrajeo, Revoques y Enlucido | C4:
[F:TAREO SEMANA 02 DEL 23 AL28  DE FEBRERO DEL 2026_.xlsx] [R:56] C1:50 | C2:dado de concreto acelografo | C3:varios arquitectura | C4:
